Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.photo.lftemp   -0.053   0.205 -0.454 -0.184 -0.058  0.082   0.361 1.000  4000
beta.photo.temp     -0.262   0.164 -0.587 -0.367 -0.261 -0.154   0.062 1.001  4000
beta.trans.humid     0.080   0.276 -0.462 -0.101  0.081  0.257   0.628 1.003  1300
beta.trans.lfarea    0.241   0.236 -0.230  0.090  0.240  0.397   0.701 1.001  4000
beta.trans.lwr       0.024   0.258 -0.484 -0.150  0.027  0.191   0.529 1.001  3400
beta.trans.sdi       0.403   0.156  0.096  0.301  0.400  0.503   0.713 1.001  3400
beta.trans.sla       0.041   0.178 -0.324 -0.075  0.041  0.159   0.387 1.002  1900
beta.trans.spi       0.339   0.179 -0.023  0.224  0.340  0.455   0.700 1.001  4000
beta.trans.temp     -0.103   0.208 -0.509 -0.238 -0.106  0.031   0.305 1.003  1400
beta.wue.cond       -1.537   0.119 -1.772 -1.615 -1.538 -1.458  -1.302 1.001  2700
beta.wue.photo       0.948   0.130  0.693  0.859  0.949  1.032   1.203 1.001  2800
rho.lf[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[2,1]         -0.088   0.184 -0.433 -0.217 -0.093  0.033   0.277 1.000  4000
rho.lf[3,1]         -0.409   0.155 -0.680 -0.523 -0.423 -0.307  -0.080 1.001  4000
rho.lf[4,1]          0.234   0.176 -0.117  0.116  0.239  0.358   0.555 1.002  2400
rho.lf[5,1]          0.245   0.177 -0.116  0.127  0.255  0.370   0.569 1.002  1800
rho.lf[1,2]         -0.088   0.184 -0.433 -0.217 -0.093  0.033   0.277 1.000  4000
rho.lf[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[3,2]          0.043   0.186 -0.318 -0.082  0.043  0.172   0.402 1.001  2900
rho.lf[4,2]         -0.058   0.182 -0.406 -0.184 -0.060  0.064   0.294 1.001  4000
rho.lf[5,2]          0.213   0.180 -0.166  0.095  0.220  0.339   0.538 1.001  3800
rho.lf[1,3]         -0.409   0.155 -0.680 -0.523 -0.423 -0.307  -0.080 1.001  4000
rho.lf[2,3]          0.043   0.186 -0.318 -0.082  0.043  0.172   0.402 1.001  2900
rho.lf[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[4,3]         -0.111   0.184 -0.459 -0.240 -0.115  0.019   0.253 1.001  4000
rho.lf[5,3]         -0.169   0.182 -0.500 -0.300 -0.175 -0.049   0.201 1.001  4000
rho.lf[1,4]          0.234   0.176 -0.117  0.116  0.239  0.358   0.555 1.002  2400
rho.lf[2,4]         -0.058   0.182 -0.406 -0.184 -0.060  0.064   0.294 1.001  4000
rho.lf[3,4]         -0.111   0.184 -0.459 -0.240 -0.115  0.019   0.253 1.001  4000
rho.lf[4,4]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[5,4]          0.401   0.156  0.074  0.301  0.410  0.515   0.671 1.002  1600
rho.lf[1,5]          0.245   0.177 -0.116  0.127  0.255  0.370   0.569 1.002  1800
rho.lf[2,5]          0.213   0.180 -0.166  0.095  0.220  0.339   0.538 1.001  3800
rho.lf[3,5]         -0.169   0.182 -0.500 -0.300 -0.175 -0.049   0.201 1.001  4000
rho.lf[4,5]          0.401   0.156  0.074  0.301  0.410  0.515   0.671 1.002  1600
rho.lf[5,5]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[2,1]          0.236   0.247 -0.290  0.075  0.252  0.419   0.665 1.001  4000
rho.ph[3,1]          0.053   0.255 -0.442 -0.125  0.057  0.238   0.533 1.002  2000
rho.ph[1,2]          0.236   0.247 -0.290  0.075  0.252  0.419   0.665 1.001  4000
rho.ph[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[3,2]          0.367   0.222 -0.124  0.229  0.391  0.532   0.725 1.001  4000
rho.ph[1,3]          0.053   0.255 -0.442 -0.125  0.057  0.238   0.533 1.002  2000
rho.ph[2,3]          0.367   0.222 -0.124  0.229  0.391  0.532   0.725 1.001  4000
rho.ph[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
sigmasq.cond         0.539   0.167  0.305  0.423  0.508  0.624   0.939 1.001  3800
sigmasq.fluor        0.893   0.571  0.280  0.527  0.745  1.073   2.409 1.001  4000
sigmasq.lftemp       1.069   0.758  0.291  0.581  0.862  1.309   2.939 1.001  4000
sigmasq.photo        0.224   0.079  0.124  0.172  0.208  0.258   0.413 1.002  2200
sigmasq.trans        0.553   0.340  0.183  0.337  0.464  0.670   1.409 1.001  2800
sigmasq.wue          0.087   0.041  0.049  0.068  0.082  0.100   0.150 1.002  2400
deviance            75.505  20.602 37.631 61.596 75.071 88.632 115.001 1.001  3200

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 212.1 and DIC = 287.6
DIC is an estimate of expected predictive error (lower deviance is better).
