Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%     75%   97.5%  Rhat n.eff
beta.trans.sla       0.466   0.405 -0.344  0.200  0.471   0.725   1.264 1.001  2900
beta.trans.spi      -0.042   0.276 -0.611 -0.216 -0.037   0.138   0.482 1.001  2900
beta.trans.temp     -0.484   0.540 -1.587 -0.823 -0.481  -0.117   0.563 1.001  4000
mu.lf[1]            -0.560   0.167 -0.892 -0.666 -0.561  -0.451  -0.232 1.001  2900
mu.lf[2]             0.747   0.207  0.332  0.615  0.748   0.885   1.164 1.001  3100
mu.lf[3]             0.744   0.181  0.385  0.625  0.744   0.866   1.094 1.001  4000
mu.lf[4]             0.397   0.229 -0.060  0.247  0.398   0.549   0.853 1.001  3400
mu.lf[5]            -0.819   0.104 -1.018 -0.886 -0.818  -0.756  -0.616 1.002  2200
mu.ph[1,1]          -0.837   0.537 -1.917 -1.171 -0.836  -0.507   0.249 1.001  4000
mu.ph[2,1]           0.005   0.570 -1.162 -0.351  0.006   0.368   1.142 1.001  4000
mu.ph[3,1]          -0.217   0.570 -1.381 -0.578 -0.198   0.162   0.866 1.002  2000
mu.ph[4,1]          -0.262   0.550 -1.347 -0.616 -0.269   0.099   0.828 1.001  3200
mu.ph[5,1]           0.456   0.470 -0.449  0.149  0.450   0.764   1.410 1.001  4000
mu.ph[6,1]           0.200   0.491 -0.769 -0.126  0.191   0.515   1.181 1.001  4000
mu.ph[7,1]           0.284   0.624 -0.926 -0.134  0.271   0.671   1.562 1.002  1700
mu.ph[8,1]          -0.097   0.498 -1.134 -0.413 -0.095   0.232   0.874 1.001  4000
mu.ph[9,1]          -0.287   0.463 -1.205 -0.583 -0.282   0.012   0.626 1.001  4000
mu.ph[10,1]          0.423   0.517 -0.625  0.099  0.415   0.757   1.467 1.001  4000
mu.ph[11,1]          0.464   0.442 -0.403  0.171  0.463   0.757   1.343 1.001  4000
mu.ph[12,1]          0.495   0.516 -0.569  0.159  0.501   0.839   1.499 1.003  1400
mu.ph[13,1]          0.908   0.517 -0.147  0.577  0.917   1.253   1.896 1.001  2800
mu.ph[14,1]         -1.036   0.499 -2.057 -1.346 -1.023  -0.716  -0.058 1.001  4000
mu.ph[15,1]         -1.399   0.535 -2.471 -1.736 -1.395  -1.053  -0.372 1.001  3300
mu.ph[16,1]         -1.639   0.502 -2.612 -1.966 -1.633  -1.306  -0.661 1.001  4000
mu.ph[17,1]         -2.044   0.554 -3.106 -2.409 -2.055  -1.697  -0.916 1.001  4000
mu.ph[18,1]         -0.059   0.605 -1.270 -0.454 -0.053   0.342   1.107 1.001  4000
mu.ph[19,1]         -0.706   0.547 -1.778 -1.063 -0.703  -0.342   0.338 1.001  3900
mu.ph[20,1]         -0.953   0.471 -1.898 -1.262 -0.948  -0.646  -0.025 1.001  4000
mu.ph[21,1]         -0.815   0.604 -2.011 -1.198 -0.814  -0.430   0.416 1.001  4000
mu.ph[1,2]           0.308   0.421 -0.495  0.030  0.307   0.580   1.152 1.001  4000
mu.ph[2,2]           0.121   0.451 -0.774 -0.166  0.115   0.401   1.023 1.001  4000
mu.ph[3,2]          -0.917   0.442 -1.786 -1.201 -0.923  -0.628  -0.025 1.001  4000
mu.ph[4,2]          -0.771   0.431 -1.631 -1.045 -0.776  -0.493   0.099 1.001  3300
mu.ph[5,2]          -0.889   0.381 -1.661 -1.136 -0.883  -0.642  -0.146 1.001  4000
mu.ph[6,2]          -0.347   0.389 -1.125 -0.605 -0.339  -0.084   0.403 1.001  3200
mu.ph[7,2]          -1.000   0.483 -1.951 -1.311 -1.001  -0.687  -0.047 1.001  4000
mu.ph[8,2]           0.209   0.389 -0.573 -0.035  0.212   0.464   0.961 1.000  4000
mu.ph[9,2]           0.180   0.368 -0.556 -0.059  0.184   0.422   0.884 1.001  4000
mu.ph[10,2]         -0.440   0.407 -1.252 -0.703 -0.439  -0.180   0.372 1.001  4000
mu.ph[11,2]         -0.402   0.359 -1.135 -0.635 -0.398  -0.167   0.307 1.002  1900
mu.ph[12,2]         -0.691   0.408 -1.469 -0.969 -0.696  -0.420   0.120 1.001  4000
mu.ph[13,2]         -0.726   0.394 -1.484 -0.991 -0.728  -0.471   0.072 1.000  4000
mu.ph[14,2]          0.808   0.409 -0.039  0.555  0.811   1.076   1.591 1.001  4000
mu.ph[15,2]          0.738   0.422 -0.130  0.475  0.753   1.012   1.523 1.001  4000
mu.ph[16,2]          0.071   0.400 -0.720 -0.189  0.061   0.329   0.883 1.002  2400
mu.ph[17,2]         -0.178   0.424 -1.017 -0.463 -0.179   0.095   0.662 1.001  4000
mu.ph[18,2]          0.604   0.477 -0.340  0.290  0.600   0.914   1.524 1.001  4000
mu.ph[19,2]          0.060   0.450 -0.832 -0.230  0.067   0.352   0.936 1.001  4000
mu.ph[20,2]         -0.161   0.387 -0.909 -0.415 -0.156   0.088   0.616 1.001  4000
mu.ph[21,2]         -0.647   0.486 -1.592 -0.954 -0.650  -0.339   0.317 1.001  3800
mu.ph[1,3]          -0.442   0.584 -1.570 -0.829 -0.447  -0.076   0.743 1.001  4000
mu.ph[2,3]          -1.212   0.634 -2.413 -1.622 -1.237  -0.822   0.124 1.000  4000
mu.ph[3,3]           0.447   0.616 -0.820  0.067  0.456   0.845   1.649 1.001  4000
mu.ph[4,3]           0.268   0.576 -0.867 -0.096  0.262   0.618   1.451 1.001  4000
mu.ph[5,3]          -0.460   0.506 -1.427 -0.792 -0.475  -0.134   0.561 1.001  4000
mu.ph[6,3]          -0.956   0.543 -2.010 -1.311 -0.951  -0.599   0.113 1.002  2400
mu.ph[7,3]          -0.429   0.663 -1.667 -0.862 -0.432  -0.018   0.907 1.001  4000
mu.ph[8,3]           1.980   0.526  0.903  1.651  2.000   2.315   3.002 1.002  1900
mu.ph[9,3]           1.771   0.529  0.659  1.441  1.784   2.123   2.746 1.003  1400
mu.ph[10,3]          0.458   0.557 -0.697  0.110  0.470   0.829   1.502 1.001  4000
mu.ph[11,3]          0.525   0.494 -0.476  0.208  0.535   0.849   1.463 1.001  3000
mu.ph[12,3]          1.097   0.560 -0.038  0.744  1.117   1.459   2.185 1.001  4000
mu.ph[13,3]          0.296   0.559 -0.837 -0.055  0.303   0.648   1.391 1.001  4000
mu.ph[14,3]         -0.735   0.538 -1.849 -1.068 -0.738  -0.401   0.325 1.000  4000
mu.ph[15,3]         -0.559   0.565 -1.725 -0.910 -0.554  -0.198   0.527 1.001  4000
mu.ph[16,3]         -0.856   0.598 -1.971 -1.265 -0.873  -0.480   0.392 1.001  4000
mu.ph[17,3]         -0.970   0.573 -2.072 -1.349 -0.973  -0.596   0.186 1.001  4000
mu.ph[18,3]          1.031   0.643 -0.251  0.621  1.043   1.437   2.311 1.001  4000
mu.ph[19,3]          1.439   0.588  0.232  1.060  1.441   1.821   2.579 1.001  3800
mu.ph[20,3]          1.266   0.531  0.188  0.928  1.259   1.616   2.312 1.003  1100
mu.ph[21,3]          1.058   0.643 -0.202  0.642  1.055   1.462   2.337 1.001  4000
mu.photo[1]          0.049   0.423 -0.778 -0.227  0.047   0.323   0.896 1.001  4000
mu.photo[2]         -1.834   0.660 -3.105 -2.262 -1.841  -1.423  -0.506 1.001  4000
mu.photo[3]          0.088   0.456 -0.833 -0.203  0.082   0.385   0.996 1.001  4000
mu.photo[4]         -0.239   0.401 -1.021 -0.501 -0.243   0.013   0.567 1.001  4000
mu.photo[5]         -0.710   0.315 -1.353 -0.913 -0.710  -0.506  -0.059 1.001  4000
mu.photo[6]         -1.102   0.361 -1.834 -1.336 -1.102  -0.870  -0.367 1.001  3500
mu.photo[7]         -0.809   0.389 -1.570 -1.060 -0.811  -0.564  -0.012 1.001  4000
mu.photo[8]          0.723   0.319  0.062  0.516  0.722   0.936   1.342 1.001  4000
mu.photo[9]          1.250   0.477  0.298  0.935  1.251   1.551   2.205 1.001  4000
mu.photo[10]        -0.262   0.312 -0.860 -0.473 -0.266  -0.064   0.365 1.001  4000
mu.photo[11]         0.039   0.376 -0.683 -0.206  0.031   0.282   0.809 1.001  3700
mu.photo[12]         0.027   0.291 -0.531 -0.164  0.026   0.218   0.596 1.001  4000
mu.photo[13]        -0.412   0.463 -1.329 -0.710 -0.416  -0.112   0.518 1.001  3200
mu.photo[14]         0.049   0.581 -1.111 -0.331  0.044   0.441   1.187 1.001  3900
mu.photo[15]        -0.898   0.517 -1.937 -1.239 -0.886  -0.560   0.112 1.001  4000
mu.photo[16]        -0.676   0.367 -1.417 -0.906 -0.677  -0.432   0.013 1.001  4000
mu.photo[17]        -0.237   0.621 -1.472 -0.633 -0.241   0.159   0.990 1.001  2700
mu.photo[18]         0.184   0.336 -0.475 -0.032  0.184   0.400   0.856 1.001  4000
mu.photo[19]         0.943   0.348  0.203  0.726  0.945   1.170   1.637 1.001  4000
mu.photo[20]         0.504   0.354 -0.210  0.274  0.509   0.732   1.204 1.001  4000
mu.photo[21]         0.976   0.461  0.025  0.685  0.979   1.270   1.888 1.001  4000
rho.lf[1,1]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.lf[2,1]         -0.130   0.201 -0.513 -0.272 -0.131   0.005   0.272 1.001  4000
rho.lf[3,1]          0.150   0.201 -0.273  0.021  0.155   0.290   0.530 1.001  4000
rho.lf[4,1]          0.245   0.192 -0.148  0.118  0.253   0.383   0.594 1.001  4000
rho.lf[5,1]          0.458   0.166  0.092  0.353  0.472   0.577   0.735 1.001  4000
rho.lf[1,2]         -0.130   0.201 -0.513 -0.272 -0.131   0.005   0.272 1.001  4000
rho.lf[2,2]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.lf[3,2]          0.019   0.207 -0.374 -0.123  0.021   0.164   0.418 1.001  4000
rho.lf[4,2]          0.122   0.203 -0.296 -0.013  0.130   0.268   0.488 1.001  3200
rho.lf[5,2]          0.157   0.203 -0.254  0.019  0.167   0.300   0.526 1.002  2500
rho.lf[1,3]          0.150   0.201 -0.273  0.021  0.155   0.290   0.530 1.001  4000
rho.lf[2,3]          0.019   0.207 -0.374 -0.123  0.021   0.164   0.418 1.001  4000
rho.lf[3,3]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.lf[4,3]         -0.134   0.197 -0.501 -0.273 -0.136  -0.001   0.276 1.002  1900
rho.lf[5,3]          0.091   0.202 -0.319 -0.044  0.097   0.232   0.472 1.001  4000
rho.lf[1,4]          0.245   0.192 -0.148  0.118  0.253   0.383   0.594 1.001  4000
rho.lf[2,4]          0.122   0.203 -0.296 -0.013  0.130   0.268   0.488 1.001  3200
rho.lf[3,4]         -0.134   0.197 -0.501 -0.273 -0.136  -0.001   0.276 1.002  1900
rho.lf[4,4]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.lf[5,4]          0.350   0.181 -0.040  0.235  0.363   0.479   0.667 1.001  3600
rho.lf[1,5]          0.458   0.166  0.092  0.353  0.472   0.577   0.735 1.001  4000
rho.lf[2,5]          0.157   0.203 -0.254  0.019  0.167   0.300   0.526 1.002  2500
rho.lf[3,5]          0.091   0.202 -0.319 -0.044  0.097   0.232   0.472 1.001  4000
rho.lf[4,5]          0.350   0.181 -0.040  0.235  0.363   0.479   0.667 1.001  3600
rho.lf[5,5]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.ph[2,1]         -0.075   0.275 -0.583 -0.274 -0.076   0.121   0.463 1.001  4000
rho.ph[3,1]          0.131   0.292 -0.460 -0.075  0.148   0.349   0.645 1.001  4000
rho.ph[1,2]         -0.075   0.275 -0.583 -0.274 -0.076   0.121   0.463 1.001  4000
rho.ph[2,2]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
rho.ph[3,2]          0.260   0.268 -0.307  0.085  0.285   0.462   0.711 1.001  3700
rho.ph[1,3]          0.131   0.292 -0.460 -0.075  0.148   0.349   0.645 1.001  4000
rho.ph[2,3]          0.260   0.268 -0.307  0.085  0.285   0.462   0.711 1.001  3700
rho.ph[3,3]          1.000   0.000  1.000  1.000  1.000   1.000   1.000 1.000     1
sigmasq.fluor        0.589   0.423  0.185  0.337  0.474   0.697   1.680 1.001  3300
sigmasq.lftemp       0.867   0.797  0.215  0.419  0.634   1.012   2.904 1.002  1500
sigmasq.photo        0.669   0.258  0.334  0.495  0.618   0.780   1.330 1.002  1800
sigmasq.trans        1.604   1.236  0.389  0.841  1.288   1.957   4.773 1.002  2300
deviance            96.774  15.597 67.690 86.070 96.040 106.456 129.153 1.002  1500

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 121.4 and DIC = 218.2
DIC is an estimate of expected predictive error (lower deviance is better).
