Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%     25%     50%     75%   97.5%  Rhat n.eff
mu.ph[4,2]          -0.765   0.424 -1.623  -1.037  -0.772  -0.491   0.078 1.001  4000
mu.ph[5,2]          -0.887   0.377 -1.633  -1.130  -0.894  -0.648  -0.146 1.001  4000
mu.ph[6,2]          -0.335   0.384 -1.102  -0.582  -0.334  -0.090   0.399 1.002  2500
mu.ph[7,2]          -1.003   0.479 -1.953  -1.308  -1.002  -0.690  -0.066 1.001  4000
mu.ph[8,2]           0.200   0.385 -0.549  -0.043   0.216   0.452   0.925 1.001  4000
mu.ph[9,2]           0.180   0.368 -0.563  -0.054   0.184   0.429   0.892 1.001  4000
mu.ph[10,2]         -0.429   0.402 -1.218  -0.686  -0.433  -0.172   0.362 1.001  4000
mu.ph[11,2]         -0.397   0.355 -1.085  -0.624  -0.401  -0.164   0.314 1.001  4000
mu.ph[12,2]         -0.695   0.407 -1.505  -0.953  -0.700  -0.440   0.134 1.001  4000
mu.ph[13,2]         -0.737   0.400 -1.543  -0.997  -0.746  -0.478   0.063 1.000  4000
mu.ph[14,2]          0.805   0.401 -0.022   0.555   0.813   1.067   1.566 1.002  2500
mu.ph[15,2]          0.736   0.424 -0.127   0.473   0.742   1.024   1.533 1.001  4000
mu.ph[16,2]          0.056   0.394 -0.722  -0.206   0.052   0.312   0.826 1.002  2000
mu.ph[17,2]         -0.185   0.409 -0.965  -0.451  -0.185   0.080   0.638 1.002  1600
mu.ph[18,2]          0.596   0.474 -0.360   0.286   0.592   0.911   1.540 1.001  4000
mu.ph[19,2]          0.036   0.433 -0.830  -0.246   0.041   0.324   0.882 1.001  4000
mu.ph[20,2]         -0.154   0.382 -0.899  -0.407  -0.160   0.095   0.605 1.001  3500
mu.ph[21,2]         -0.651   0.477 -1.584  -0.957  -0.647  -0.354   0.309 1.001  4000
mu.ph[1,3]          -0.461   0.597 -1.605  -0.843  -0.475  -0.086   0.768 1.001  4000
mu.ph[2,3]          -1.223   0.630 -2.402  -1.635  -1.241  -0.836   0.117 1.001  4000
mu.ph[3,3]           0.429   0.629 -0.858   0.035   0.441   0.851   1.616 1.001  4000
mu.ph[4,3]           0.259   0.588 -0.892  -0.114   0.239   0.632   1.484 1.001  3100
mu.ph[5,3]          -0.466   0.507 -1.462  -0.798  -0.472  -0.148   0.561 1.001  4000
mu.ph[6,3]          -0.955   0.537 -2.000  -1.304  -0.961  -0.608   0.110 1.003  1400
mu.ph[7,3]          -0.436   0.677 -1.690  -0.881  -0.447  -0.021   0.970 1.001  4000
mu.ph[8,3]           1.987   0.540  0.883   1.649   2.002   2.343   3.057 1.001  4000
mu.ph[9,3]           1.781   0.541  0.623   1.439   1.807   2.145   2.783 1.001  4000
mu.ph[10,3]          0.457   0.537 -0.635   0.111   0.468   0.808   1.478 1.001  4000
mu.ph[11,3]          0.526   0.486 -0.463   0.213   0.536   0.838   1.451 1.001  3400
mu.ph[12,3]          1.089   0.560 -0.051   0.733   1.096   1.447   2.169 1.001  4000
mu.ph[13,3]          0.298   0.555 -0.822  -0.069   0.307   0.671   1.367 1.001  4000
mu.ph[14,3]         -0.738   0.550 -1.864  -1.080  -0.728  -0.387   0.336 1.001  4000
mu.ph[15,3]         -0.561   0.579 -1.729  -0.925  -0.551  -0.191   0.578 1.001  4000
mu.ph[16,3]         -0.852   0.608 -2.030  -1.247  -0.883  -0.464   0.371 1.001  3700
mu.ph[17,3]         -0.963   0.569 -2.115  -1.331  -0.971  -0.604   0.164 1.001  4000
mu.ph[18,3]          1.015   0.648 -0.299   0.615   1.022   1.434   2.241 1.001  4000
mu.ph[19,3]          1.428   0.604  0.245   1.029   1.441   1.833   2.588 1.001  4000
mu.ph[20,3]          1.279   0.537  0.192   0.942   1.288   1.632   2.334 1.001  2900
mu.ph[21,3]          1.073   0.649 -0.202   0.660   1.071   1.481   2.348 1.001  4000
mu.photo[1]          0.119   0.438 -0.748  -0.156   0.129   0.395   0.976 1.001  4000
mu.photo[2]         -1.520   0.637 -2.801  -1.931  -1.521  -1.105  -0.247 1.001  3600
mu.photo[3]          0.747   0.546 -0.319   0.386   0.745   1.100   1.797 1.001  2700
mu.photo[4]         -0.104   0.428 -0.965  -0.367  -0.105   0.166   0.756 1.001  4000
mu.photo[5]         -0.539   0.330 -1.184  -0.753  -0.536  -0.327   0.127 1.002  2600
mu.photo[6]         -1.069   0.392 -1.859  -1.323  -1.064  -0.813  -0.287 1.002  2200
mu.photo[7]         -0.927   0.424 -1.747  -1.204  -0.930  -0.661  -0.061 1.001  3500
mu.photo[8]          0.929   0.373  0.188   0.678   0.931   1.171   1.647 1.001  4000
mu.photo[9]          0.945   0.449  0.051   0.653   0.952   1.237   1.830 1.001  3700
mu.photo[10]        -0.385   0.325 -1.032  -0.595  -0.383  -0.176   0.259 1.002  2500
mu.photo[11]        -0.232   0.378 -0.989  -0.482  -0.233   0.016   0.499 1.002  1600
mu.photo[12]        -0.273   0.286 -0.839  -0.456  -0.278  -0.082   0.291 1.001  3700
mu.photo[13]        -0.543   0.493 -1.517  -0.866  -0.538  -0.223   0.410 1.001  4000
mu.photo[14]        -0.001   0.585 -1.158  -0.389  -0.007   0.383   1.187 1.001  4000
mu.photo[15]        -1.295   0.589 -2.430  -1.670  -1.309  -0.906  -0.113 1.001  4000
mu.photo[16]         0.067   0.329 -0.575  -0.152   0.068   0.286   0.704 1.001  4000
mu.photo[17]        -0.154   0.650 -1.482  -0.577  -0.142   0.265   1.138 1.001  4000
mu.photo[18]         0.512   0.355 -0.203   0.277   0.521   0.748   1.212 1.001  4000
mu.photo[19]         1.083   0.387  0.304   0.832   1.091   1.340   1.850 1.001  4000
mu.photo[20]         0.101   0.380 -0.616  -0.146   0.104   0.348   0.854 1.002  2500
mu.photo[21]         0.283   0.456 -0.612  -0.011   0.286   0.580   1.171 1.002  2000
rho.lf[1,1]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[2,1]         -0.117   0.203 -0.506  -0.258  -0.120   0.024   0.296 1.001  3400
rho.lf[3,1]          0.148   0.203 -0.268   0.011   0.159   0.293   0.516 1.001  4000
rho.lf[4,1]          0.243   0.189 -0.153   0.120   0.257   0.376   0.578 1.001  4000
rho.lf[5,1]          0.462   0.164  0.093   0.362   0.479   0.576   0.732 1.001  3500
rho.lf[1,2]         -0.117   0.203 -0.506  -0.258  -0.120   0.024   0.296 1.001  3400
rho.lf[2,2]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[3,2]          0.016   0.205 -0.402  -0.120   0.019   0.155   0.407 1.001  4000
rho.lf[4,2]          0.130   0.196 -0.255  -0.004   0.133   0.270   0.504 1.001  4000
rho.lf[5,2]          0.164   0.202 -0.272   0.028   0.173   0.307   0.532 1.000  4000
rho.lf[1,3]          0.148   0.203 -0.268   0.011   0.159   0.293   0.516 1.001  4000
rho.lf[2,3]          0.016   0.205 -0.402  -0.120   0.019   0.155   0.407 1.001  4000
rho.lf[3,3]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[4,3]         -0.130   0.206 -0.520  -0.274  -0.134   0.010   0.277 1.001  2900
rho.lf[5,3]          0.093   0.207 -0.325  -0.044   0.102   0.235   0.490 1.002  2100
rho.lf[1,4]          0.243   0.189 -0.153   0.120   0.257   0.376   0.578 1.001  4000
rho.lf[2,4]          0.130   0.196 -0.255  -0.004   0.133   0.270   0.504 1.001  4000
rho.lf[3,4]         -0.130   0.206 -0.520  -0.274  -0.134   0.010   0.277 1.001  2900
rho.lf[4,4]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[5,4]          0.346   0.181 -0.035   0.230   0.361   0.474   0.657 1.002  2100
rho.lf[1,5]          0.462   0.164  0.093   0.362   0.479   0.576   0.732 1.001  3500
rho.lf[2,5]          0.164   0.202 -0.272   0.028   0.173   0.307   0.532 1.000  4000
rho.lf[3,5]          0.093   0.207 -0.325  -0.044   0.102   0.235   0.490 1.002  2100
rho.lf[4,5]          0.346   0.181 -0.035   0.230   0.361   0.474   0.657 1.002  2100
rho.lf[5,5]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[2,1]         -0.075   0.276 -0.588  -0.275  -0.078   0.117   0.459 1.001  4000
rho.ph[3,1]          0.130   0.289 -0.461  -0.066   0.141   0.340   0.642 1.001  4000
rho.ph[1,2]         -0.075   0.276 -0.588  -0.275  -0.078   0.117   0.459 1.001  4000
rho.ph[2,2]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[3,2]          0.258   0.272 -0.311   0.078   0.283   0.460   0.709 1.001  3800
rho.ph[1,3]          0.130   0.289 -0.461  -0.066   0.141   0.340   0.642 1.001  4000
rho.ph[2,3]          0.258   0.272 -0.311   0.078   0.283   0.460   0.709 1.001  3800
rho.ph[3,3]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
sigmasq.cond         0.285   0.103  0.150   0.216   0.263   0.330   0.527 1.001  3300
sigmasq.fluor        0.585   0.399  0.175   0.333   0.476   0.705   1.663 1.001  4000
sigmasq.lftemp       0.916   0.981  0.213   0.426   0.648   1.039   3.334 1.003  1100
sigmasq.photo        0.717   0.266  0.355   0.530   0.665   0.844   1.360 1.001  4000
sigmasq.trans        1.585   1.174  0.380   0.829   1.267   1.974   4.684 1.001  3500
sigmasq.wue          0.114   0.050  0.059   0.085   0.104   0.131   0.218 1.001  4000
deviance           118.823  18.025 84.504 106.168 118.723 130.742 154.459 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 162.5 and DIC = 281.4
DIC is an estimate of expected predictive error (lower deviance is better).
