Path analysis results at Kleinmond 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.lftemp.spi     -0.080   0.243  -0.548 -0.236 -0.087  0.079  0.394 1.001  4000
beta.lftemp.temp     0.358   0.467  -0.665  0.090  0.390  0.665  1.199 1.003  1100
beta.photo.cond      1.388   0.311   0.766  1.189  1.387  1.593  2.002 1.002  4000
beta.photo.fluor    -0.027   0.161  -0.351 -0.133 -0.025  0.080  0.281 1.001  3900
beta.photo.humid     0.136   0.170  -0.198  0.025  0.135  0.243  0.472 1.001  4000
beta.photo.lftemp   -0.095   0.149  -0.394 -0.187 -0.095  0.001  0.192 1.001  3500
beta.photo.temp      0.073   0.207  -0.347 -0.055  0.072  0.212  0.465 1.001  3900
beta.photo.wue       1.092   0.173   0.751  0.978  1.093  1.204  1.439 1.002  2300
beta.trans.humid    -0.758   0.592  -1.893 -1.148 -0.761 -0.389  0.445 1.003  1100
beta.trans.lfarea    0.360   0.284  -0.193  0.174  0.361  0.545  0.922 1.004   940
beta.trans.lwr      -0.093   0.279  -0.637 -0.275 -0.093  0.086  0.452 1.001  3400
beta.trans.sdi      -0.278   0.477  -1.248 -0.585 -0.270  0.029  0.654 1.003  1100
beta.trans.sla       0.504   0.409  -0.264  0.224  0.488  0.768  1.338 1.003   990
beta.trans.spi      -0.050   0.263  -0.580 -0.217 -0.046  0.124  0.452 1.001  4000
beta.trans.temp     -0.323   0.487  -1.276 -0.641 -0.323 -0.003  0.653 1.003  1300
beta.wue.humid       0.100   0.427  -0.739 -0.168  0.094  0.367  0.969 1.003  1100
beta.wue.lfarea     -0.493   0.241  -0.964 -0.648 -0.492 -0.337 -0.025 1.001  4000
beta.wue.lwr         0.374   0.228  -0.088  0.225  0.377  0.525  0.816 1.002  1400
beta.wue.sdi         0.105   0.386  -0.657 -0.153  0.104  0.355  0.872 1.002  1700
beta.wue.sla        -0.169   0.340  -0.855 -0.387 -0.167  0.057  0.503 1.001  3400
beta.wue.spi        -0.260   0.218  -0.681 -0.399 -0.263 -0.120  0.167 1.001  4000
beta.wue.temp        0.581   0.369  -0.117  0.347  0.569  0.806  1.337 1.004   900
rho.lf[1,1]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]         -0.121   0.202  -0.493 -0.259 -0.127  0.012  0.293 1.001  4000
rho.lf[3,1]          0.148   0.201  -0.269  0.012  0.155  0.289  0.523 1.002  2600
rho.lf[4,1]          0.243   0.197  -0.179  0.116  0.251  0.385  0.591 1.001  4000
rho.lf[5,1]          0.452   0.166   0.081  0.350  0.469  0.577  0.728 1.001  3600
rho.lf[1,2]         -0.121   0.202  -0.493 -0.259 -0.127  0.012  0.293 1.001  4000
rho.lf[2,2]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]          0.014   0.201  -0.367 -0.125  0.012  0.157  0.399 1.001  2800
rho.lf[4,2]          0.125   0.199  -0.269 -0.012  0.129  0.265  0.501 1.001  3200
rho.lf[5,2]          0.165   0.200  -0.247  0.035  0.172  0.305  0.539 1.001  4000
rho.lf[1,3]          0.148   0.201  -0.269  0.012  0.155  0.289  0.523 1.002  2600
rho.lf[2,3]          0.014   0.201  -0.367 -0.125  0.012  0.157  0.399 1.001  2800
rho.lf[3,3]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[4,3]         -0.132   0.202  -0.507 -0.278 -0.134  0.005  0.281 1.001  4000
rho.lf[5,3]          0.090   0.208  -0.331 -0.049  0.089  0.234  0.485 1.001  3500
rho.lf[1,4]          0.243   0.197  -0.179  0.116  0.251  0.385  0.591 1.001  4000
rho.lf[2,4]          0.125   0.199  -0.269 -0.012  0.129  0.265  0.501 1.001  3200
rho.lf[3,4]         -0.132   0.202  -0.507 -0.278 -0.134  0.005  0.281 1.001  4000
rho.lf[4,4]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]          0.347   0.184  -0.058  0.233  0.362  0.479  0.662 1.001  4000
rho.lf[1,5]          0.452   0.166   0.081  0.350  0.469  0.577  0.728 1.001  3600
rho.lf[2,5]          0.165   0.200  -0.247  0.035  0.172  0.305  0.539 1.001  4000
rho.lf[3,5]          0.090   0.208  -0.331 -0.049  0.089  0.234  0.485 1.001  3500
rho.lf[4,5]          0.347   0.184  -0.058  0.233  0.362  0.479  0.662 1.001  4000
rho.lf[5,5]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]         -0.056   0.275  -0.575 -0.254 -0.055  0.137  0.486 1.001  4000
rho.ph[3,1]          0.197   0.281  -0.379  0.004  0.220  0.405  0.692 1.001  4000
rho.ph[4,1]          0.119   0.279  -0.439 -0.077  0.132  0.318  0.623 1.001  4000
rho.ph[5,1]         -0.358   0.247  -0.754 -0.543 -0.388 -0.196  0.176 1.001  4000
rho.ph[1,2]         -0.056   0.275  -0.575 -0.254 -0.055  0.137  0.486 1.001  4000
rho.ph[2,2]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]          0.253   0.271  -0.326  0.070  0.271  0.454  0.722 1.001  4000
rho.ph[4,2]          0.297   0.257  -0.249  0.125  0.319  0.488  0.726 1.001  3400
rho.ph[5,2]         -0.052   0.271  -0.572 -0.251 -0.055  0.147  0.472 1.001  4000
rho.ph[1,3]          0.197   0.281  -0.379  0.004  0.220  0.405  0.692 1.001  4000
rho.ph[2,3]          0.253   0.271  -0.326  0.070  0.271  0.454  0.722 1.001  4000
rho.ph[3,3]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[4,3]          0.706   0.152   0.338  0.628  0.735  0.818  0.911 1.001  4000
rho.ph[5,3]         -0.502   0.214  -0.826 -0.661 -0.529 -0.374 -0.009 1.001  4000
rho.ph[1,4]          0.119   0.279  -0.439 -0.077  0.132  0.318  0.623 1.001  4000
rho.ph[2,4]          0.297   0.257  -0.249  0.125  0.319  0.488  0.726 1.001  3400
rho.ph[3,4]          0.706   0.152   0.338  0.628  0.735  0.818  0.911 1.001  4000
rho.ph[4,4]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[5,4]         -0.534   0.202  -0.831 -0.684 -0.566 -0.416 -0.060 1.001  3900
rho.ph[1,5]         -0.358   0.247  -0.754 -0.543 -0.388 -0.196  0.176 1.001  4000
rho.ph[2,5]         -0.052   0.271  -0.572 -0.251 -0.055  0.147  0.472 1.001  4000
rho.ph[3,5]         -0.502   0.214  -0.826 -0.661 -0.529 -0.374 -0.009 1.001  4000
rho.ph[4,5]         -0.534   0.202  -0.831 -0.684 -0.566 -0.416 -0.060 1.001  3900
rho.ph[5,5]          1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
sigmasq.cond         0.524   0.341   0.172  0.307  0.439  0.630  1.404 1.001  4000
sigmasq.fluor        0.605   0.436   0.185  0.342  0.492  0.722  1.718 1.001  4000
sigmasq.lftemp       0.790   0.783   0.193  0.389  0.585  0.924  2.541 1.001  4000
sigmasq.photo        0.182   0.080   0.088  0.129  0.164  0.214  0.377 1.001  4000
sigmasq.trans        1.267   0.961   0.313  0.667  1.013  1.556  3.677 1.001  3400
sigmasq.wue          0.497   0.352   0.154  0.280  0.398  0.596  1.391 1.001  3400
deviance            23.177  20.181 -14.987  9.269 22.878 36.780 63.851 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 203.7 and DIC = 226.8
DIC is an estimate of expected predictive error (lower deviance is better).
