Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%     75%  97.5%  Rhat n.eff
beta.photo.lftemp    0.040   0.182  -0.319  -0.081   0.038   0.160  0.405 1.002  1700
beta.photo.temp     -0.163   0.222  -0.604  -0.308  -0.163  -0.020  0.281 1.001  4000
beta.photo.wue       0.797   0.215   0.360   0.658   0.800   0.936  1.232 1.001  4000
beta.trans.humid    -0.006   0.284  -0.562  -0.190  -0.007   0.184  0.536 1.003  1000
beta.trans.lfarea    0.233   0.234  -0.245   0.083   0.235   0.389  0.682 1.001  4000
beta.trans.lwr      -0.014   0.261  -0.517  -0.185  -0.019   0.156  0.517 1.002  1500
beta.trans.sdi       0.404   0.156   0.094   0.302   0.406   0.507  0.720 1.002  2000
beta.trans.sla       0.044   0.182  -0.322  -0.078   0.044   0.165  0.406 1.000  4000
beta.trans.spi       0.373   0.184   0.008   0.252   0.374   0.490  0.750 1.002  1900
beta.trans.temp     -0.148   0.212  -0.570  -0.280  -0.150  -0.006  0.272 1.002  2000
beta.wue.humid      -0.301   0.296  -0.859  -0.501  -0.305  -0.112  0.297 1.001  4000
beta.wue.lfarea     -0.200   0.224  -0.650  -0.341  -0.201  -0.056  0.245 1.002  1700
beta.wue.lwr         0.483   0.246  -0.012   0.320   0.489   0.651  0.956 1.001  4000
beta.wue.sdi        -0.120   0.151  -0.428  -0.218  -0.120  -0.023  0.177 1.002  1800
beta.wue.sla         0.203   0.175  -0.140   0.088   0.202   0.321  0.555 1.002  1800
beta.wue.spi        -0.610   0.188  -0.985  -0.731  -0.602  -0.484 -0.254 1.001  4000
beta.wue.temp        0.722   0.219   0.306   0.578   0.718   0.861  1.171 1.002  1800
rho.lf[1,1]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.lf[2,1]         -0.097   0.187  -0.457  -0.226  -0.100   0.033  0.272 1.002  2500
rho.lf[3,1]         -0.413   0.155  -0.678  -0.527  -0.426  -0.312 -0.076 1.002  1800
rho.lf[4,1]          0.238   0.172  -0.118   0.127   0.247   0.360  0.550 1.002  1500
rho.lf[5,1]          0.247   0.175  -0.120   0.133   0.256   0.371  0.564 1.001  4000
rho.lf[1,2]         -0.097   0.187  -0.457  -0.226  -0.100   0.033  0.272 1.002  2500
rho.lf[2,2]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.lf[3,2]          0.046   0.188  -0.316  -0.076   0.044   0.173  0.410 1.001  4000
rho.lf[4,2]         -0.060   0.188  -0.424  -0.189  -0.062   0.067  0.307 1.002  2700
rho.lf[5,2]          0.211   0.178  -0.145   0.093   0.215   0.338  0.533 1.001  4000
rho.lf[1,3]         -0.413   0.155  -0.678  -0.527  -0.426  -0.312 -0.076 1.002  1800
rho.lf[2,3]          0.046   0.188  -0.316  -0.076   0.044   0.173  0.410 1.001  4000
rho.lf[3,3]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.lf[4,3]         -0.113   0.182  -0.458  -0.243  -0.113   0.014  0.239 1.001  2900
rho.lf[5,3]         -0.170   0.180  -0.506  -0.294  -0.172  -0.048  0.187 1.001  4000
rho.lf[1,4]          0.238   0.172  -0.118   0.127   0.247   0.360  0.550 1.002  1500
rho.lf[2,4]         -0.060   0.188  -0.424  -0.189  -0.062   0.067  0.307 1.002  2700
rho.lf[3,4]         -0.113   0.182  -0.458  -0.243  -0.113   0.014  0.239 1.001  2900
rho.lf[4,4]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.lf[5,4]          0.401   0.157   0.061   0.304   0.411   0.517  0.667 1.002  2100
rho.lf[1,5]          0.247   0.175  -0.120   0.133   0.256   0.371  0.564 1.001  4000
rho.lf[2,5]          0.211   0.178  -0.145   0.093   0.215   0.338  0.533 1.001  4000
rho.lf[3,5]         -0.170   0.180  -0.506  -0.294  -0.172  -0.048  0.187 1.001  4000
rho.lf[4,5]          0.401   0.157   0.061   0.304   0.411   0.517  0.667 1.002  2100
rho.lf[5,5]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.ph[2,1]          0.249   0.252  -0.287   0.081   0.271   0.437  0.669 1.003  1400
rho.ph[3,1]          0.004   0.269  -0.510  -0.193   0.007   0.197  0.513 1.001  3400
rho.ph[4,1]         -0.274   0.262  -0.726  -0.467  -0.294  -0.094  0.286 1.001  3000
rho.ph[5,1]          0.410   0.241  -0.129   0.262   0.438   0.592  0.791 1.001  4000
rho.ph[1,2]          0.249   0.252  -0.287   0.081   0.271   0.437  0.669 1.003  1400
rho.ph[2,2]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.ph[3,2]          0.357   0.223  -0.139   0.215   0.377   0.520  0.730 1.001  3500
rho.ph[4,2]          0.040   0.259  -0.460  -0.143   0.038   0.227  0.532 1.001  4000
rho.ph[5,2]          0.252   0.245  -0.274   0.089   0.269   0.430  0.675 1.001  4000
rho.ph[1,3]          0.004   0.269  -0.510  -0.193   0.007   0.197  0.513 1.001  3400
rho.ph[2,3]          0.357   0.223  -0.139   0.215   0.377   0.520  0.730 1.001  3500
rho.ph[3,3]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.ph[4,3]          0.377   0.236  -0.142   0.223   0.403   0.550  0.760 1.001  4000
rho.ph[5,3]         -0.106   0.262  -0.596  -0.297  -0.110   0.080  0.412 1.001  3000
rho.ph[1,4]         -0.274   0.262  -0.726  -0.467  -0.294  -0.094  0.286 1.001  3000
rho.ph[2,4]          0.040   0.259  -0.460  -0.143   0.038   0.227  0.532 1.001  4000
rho.ph[3,4]          0.377   0.236  -0.142   0.223   0.403   0.550  0.760 1.001  4000
rho.ph[4,4]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
rho.ph[5,4]         -0.375   0.245  -0.775  -0.557  -0.402  -0.227  0.173 1.001  4000
rho.ph[1,5]          0.410   0.241  -0.129   0.262   0.438   0.592  0.791 1.001  4000
rho.ph[2,5]          0.252   0.245  -0.274   0.089   0.269   0.430  0.675 1.001  4000
rho.ph[3,5]         -0.106   0.262  -0.596  -0.297  -0.110   0.080  0.412 1.001  3000
rho.ph[4,5]         -0.375   0.245  -0.775  -0.557  -0.402  -0.227  0.173 1.001  4000
rho.ph[5,5]          1.000   0.000   1.000   1.000   1.000   1.000  1.000 1.000     1
sigmasq.cond         0.622   0.379   0.203   0.374   0.528   0.756  1.568 1.001  4000
sigmasq.fluor        0.927   0.613   0.278   0.536   0.769   1.140  2.525 1.001  3100
sigmasq.lftemp       0.822   0.590   0.238   0.452   0.659   1.006  2.333 1.002  2000
sigmasq.photo        0.141   0.056   0.073   0.106   0.130   0.163  0.263 1.001  3900
sigmasq.trans        0.576   0.376   0.192   0.342   0.479   0.683  1.525 1.001  3300
sigmasq.wue          0.619   0.398   0.199   0.367   0.526   0.753  1.589 1.001  4000
deviance           -48.657  23.739 -94.084 -64.755 -48.757 -32.867 -3.723 1.001  2700

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 281.6 and DIC = 233.0
DIC is an estimate of expected predictive error (lower deviance is better).
