Path analysis results at Kleinmond 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.trans.spi      -0.058   0.267 -0.599 -0.229 -0.057  0.115   0.467 1.002  2300
beta.trans.temp     -0.376   0.494 -1.377 -0.686 -0.371 -0.058   0.613 1.001  4000
beta.wue.cond       -1.534   0.121 -1.779 -1.611 -1.536 -1.457  -1.303 1.002  1700
beta.wue.photo       0.947   0.104  0.752  0.878  0.947  1.012   1.151 1.001  3300
rho.lf[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[2,1]         -0.127   0.201 -0.504 -0.267 -0.132  0.006   0.270 1.003  1400
rho.lf[3,1]          0.146   0.202 -0.262  0.013  0.153  0.284   0.517 1.001  4000
rho.lf[4,1]          0.243   0.194 -0.158  0.113  0.253  0.379   0.594 1.002  2500
rho.lf[5,1]          0.453   0.164  0.089  0.354  0.469  0.573   0.724 1.002  2400
rho.lf[1,2]         -0.127   0.201 -0.504 -0.267 -0.132  0.006   0.270 1.003  1400
rho.lf[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[3,2]          0.018   0.203 -0.383 -0.122  0.018  0.154   0.416 1.001  2700
rho.lf[4,2]          0.124   0.204 -0.294 -0.012  0.130  0.269   0.503 1.001  4000
rho.lf[5,2]          0.164   0.201 -0.244  0.033  0.167  0.303   0.538 1.001  4000
rho.lf[1,3]          0.146   0.202 -0.262  0.013  0.153  0.284   0.517 1.001  4000
rho.lf[2,3]          0.018   0.203 -0.383 -0.122  0.018  0.154   0.416 1.001  2700
rho.lf[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[4,3]         -0.135   0.201 -0.502 -0.280 -0.138  0.001   0.272 1.001  4000
rho.lf[5,3]          0.087   0.206 -0.325 -0.052  0.092  0.235   0.476 1.001  4000
rho.lf[1,4]          0.243   0.194 -0.158  0.113  0.253  0.379   0.594 1.002  2500
rho.lf[2,4]          0.124   0.204 -0.294 -0.012  0.130  0.269   0.503 1.001  4000
rho.lf[3,4]         -0.135   0.201 -0.502 -0.280 -0.138  0.001   0.272 1.001  4000
rho.lf[4,4]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[5,4]          0.352   0.182 -0.048  0.238  0.369  0.482   0.668 1.001  4000
rho.lf[1,5]          0.453   0.164  0.089  0.354  0.469  0.573   0.724 1.002  2400
rho.lf[2,5]          0.164   0.201 -0.244  0.033  0.167  0.303   0.538 1.001  4000
rho.lf[3,5]          0.087   0.206 -0.325 -0.052  0.092  0.235   0.476 1.001  4000
rho.lf[4,5]          0.352   0.182 -0.048  0.238  0.369  0.482   0.668 1.001  4000
rho.lf[5,5]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[2,1]         -0.066   0.277 -0.595 -0.265 -0.064  0.129   0.479 1.001  4000
rho.ph[3,1]          0.174   0.292 -0.433 -0.022  0.192  0.388   0.694 1.001  2900
rho.ph[4,1]          0.100   0.287 -0.476 -0.096  0.112  0.307   0.621 1.002  2200
rho.ph[1,2]         -0.066   0.277 -0.595 -0.265 -0.064  0.129   0.479 1.001  4000
rho.ph[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[3,2]          0.244   0.277 -0.331  0.057  0.258  0.449   0.722 1.001  4000
rho.ph[4,2]          0.290   0.261 -0.268  0.121  0.314  0.482   0.739 1.001  4000
rho.ph[1,3]          0.174   0.292 -0.433 -0.022  0.192  0.388   0.694 1.001  2900
rho.ph[2,3]          0.244   0.277 -0.331  0.057  0.258  0.449   0.722 1.001  4000
rho.ph[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[4,3]          0.710   0.153  0.333  0.632  0.741  0.824   0.913 1.001  4000
rho.ph[1,4]          0.100   0.287 -0.476 -0.096  0.112  0.307   0.621 1.002  2200
rho.ph[2,4]          0.290   0.261 -0.268  0.121  0.314  0.482   0.739 1.001  4000
rho.ph[3,4]          0.710   0.153  0.333  0.632  0.741  0.824   0.913 1.001  4000
rho.ph[4,4]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
sigmasq.cond         0.544   0.350  0.173  0.318  0.453  0.659   1.514 1.001  4000
sigmasq.fluor        0.596   0.427  0.184  0.342  0.487  0.709   1.715 1.001  2900
sigmasq.lftemp       0.910   1.108  0.198  0.426  0.651  1.043   3.185 1.002  1600
sigmasq.photo        0.705   0.281  0.348  0.509  0.648  0.828   1.393 1.000  4000
sigmasq.trans        1.252   1.037  0.315  0.663  1.005  1.527   3.629 1.001  4000
sigmasq.wue          0.112   0.060  0.059  0.084  0.104  0.130   0.205 1.001  4000
deviance            69.183  19.345 32.619 55.580 68.931 82.216 108.442 1.002  1600

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 186.8 and DIC = 256.0
DIC is an estimate of expected predictive error (lower deviance is better).
