Path analysis results at Kleinmond 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.photo.lftemp     -0.009   0.205 -0.419 -0.139 -0.011  0.124   0.388 1.001  4000
mu.lf[1]              -0.559   0.165 -0.886 -0.667 -0.559 -0.451  -0.234 1.002  2400
mu.lf[2]               0.751   0.204  0.355  0.618  0.746  0.883   1.165 1.000  4000
mu.lf[3]               0.745   0.183  0.386  0.626  0.745  0.863   1.108 1.001  4000
mu.lf[4]               0.401   0.228 -0.060  0.254  0.403  0.550   0.832 1.001  4000
mu.lf[5]              -0.819   0.104 -1.018 -0.885 -0.819 -0.755  -0.613 1.001  4000
mu.ph[1,1]            -0.852   0.533 -1.921 -1.195 -0.850 -0.509   0.195 1.001  4000
mu.ph[2,1]            -0.002   0.551 -1.097 -0.352 -0.006  0.344   1.095 1.000  4000
mu.ph[3,1]            -0.209   0.554 -1.289 -0.579 -0.211  0.156   0.872 1.001  4000
mu.ph[4,1]            -0.287   0.544 -1.390 -0.636 -0.286  0.068   0.773 1.001  4000
mu.ph[5,1]             0.441   0.461 -0.446  0.128  0.438  0.741   1.368 1.002  2500
mu.ph[6,1]             0.182   0.490 -0.773 -0.146  0.174  0.508   1.152 1.001  4000
mu.ph[7,1]             0.255   0.608 -0.938 -0.150  0.238  0.648   1.460 1.001  4000
mu.ph[8,1]            -0.086   0.495 -1.080 -0.400 -0.083  0.240   0.859 1.001  4000
mu.ph[9,1]            -0.267   0.464 -1.197 -0.565 -0.265  0.032   0.625 1.002  2100
mu.ph[10,1]            0.425   0.513 -0.578  0.083  0.416  0.760   1.430 1.002  2500
mu.ph[11,1]            0.469   0.436 -0.381  0.181  0.460  0.763   1.340 1.001  3700
mu.ph[12,1]            0.523   0.512 -0.530  0.208  0.533  0.854   1.548 1.001  4000
mu.ph[13,1]            0.952   0.506 -0.073  0.623  0.966  1.283   1.956 1.000  4000
mu.ph[14,1]           -1.039   0.491 -2.059 -1.331 -1.035 -0.738  -0.056 1.001  4000
mu.ph[15,1]           -1.407   0.525 -2.493 -1.736 -1.404 -1.072  -0.392 1.001  3700
mu.ph[16,1]           -1.680   0.490 -2.629 -2.002 -1.679 -1.357  -0.709 1.001  4000
mu.ph[17,1]           -2.067   0.527 -3.110 -2.423 -2.068 -1.716  -1.038 1.001  4000
mu.ph[18,1]           -0.060   0.604 -1.268 -0.442 -0.058  0.327   1.126 1.001  4000
mu.ph[19,1]           -0.705   0.547 -1.812 -1.059 -0.709 -0.360   0.391 1.001  4000
mu.ph[20,1]           -0.944   0.466 -1.856 -1.259 -0.948 -0.637  -0.020 1.002  2500
mu.ph[21,1]           -0.808   0.610 -1.980 -1.206 -0.834 -0.419   0.445 1.001  4000
mu.ph[1,2]             0.320   0.425 -0.517  0.033  0.327  0.598   1.181 1.001  4000
mu.ph[2,2]             0.102   0.448 -0.781 -0.187  0.107  0.383   1.000 1.001  3400
mu.ph[3,2]            -0.938   0.447 -1.806 -1.231 -0.946 -0.654  -0.051 1.001  3700
mu.ph[4,2]            -0.769   0.442 -1.639 -1.055 -0.768 -0.486   0.124 1.001  2900
mu.ph[5,2]            -0.908   0.376 -1.644 -1.164 -0.914 -0.662  -0.160 1.001  4000
mu.ph[6,2]            -0.329   0.385 -1.115 -0.578 -0.328 -0.081   0.428 1.001  4000
mu.ph[7,2]            -1.001   0.474 -1.952 -1.303 -0.993 -0.700  -0.073 1.000  4000
mu.ph[8,2]             0.212   0.387 -0.566 -0.036  0.215  0.471   0.969 1.001  2900
mu.ph[9,2]             0.199   0.364 -0.509 -0.039  0.202  0.435   0.921 1.001  4000
mu.ph[10,2]           -0.443   0.409 -1.269 -0.711 -0.443 -0.167   0.338 1.001  3200
mu.ph[11,2]           -0.405   0.358 -1.126 -0.638 -0.399 -0.175   0.287 1.002  2600
mu.ph[12,2]           -0.690   0.395 -1.459 -0.950 -0.691 -0.437   0.084 1.002  2600
mu.ph[13,2]           -0.730   0.394 -1.490 -0.991 -0.727 -0.473   0.041 1.001  2900
mu.ph[14,2]            0.810   0.398 -0.014  0.561  0.822  1.067   1.574 1.001  3000
mu.ph[15,2]            0.748   0.422 -0.135  0.487  0.755  1.022   1.542 1.001  4000
mu.ph[16,2]            0.046   0.390 -0.721 -0.212  0.044  0.297   0.827 1.001  4000
mu.ph[17,2]           -0.173   0.403 -0.979 -0.433 -0.169  0.084   0.640 1.002  1900
mu.ph[18,2]            0.561   0.477 -0.396  0.254  0.568  0.862   1.508 1.001  2900
mu.ph[19,2]            0.035   0.437 -0.842 -0.247  0.039  0.325   0.873 1.000  4000
mu.ph[20,2]           -0.130   0.373 -0.886 -0.372 -0.120  0.115   0.591 1.001  4000
mu.ph[21,2]           -0.632   0.470 -1.544 -0.936 -0.633 -0.332   0.302 1.001  4000
mu.ph[1,3]            -0.514   0.457 -1.376 -0.815 -0.522 -0.218   0.413 1.001  4000
mu.ph[2,3]            -1.147   0.471 -2.063 -1.454 -1.160 -0.845  -0.210 1.001  3000
mu.ph[3,3]             0.924   0.476 -0.031  0.612  0.923  1.241   1.851 1.001  3400
mu.ph[4,3]            -0.062   0.452 -0.952 -0.353 -0.067  0.230   0.848 1.002  1500
mu.ph[5,3]            -0.620   0.398 -1.403 -0.886 -0.619 -0.359   0.185 1.001  4000
mu.ph[6,3]            -1.130   0.412 -1.967 -1.393 -1.138 -0.863  -0.332 1.001  4000
mu.ph[7,3]            -0.759   0.527 -1.757 -1.112 -0.771 -0.421   0.292 1.001  4000
mu.ph[8,3]             1.126   0.416  0.289  0.854  1.126  1.391   1.942 1.003  1300
mu.ph[9,3]             0.860   0.398  0.084  0.604  0.863  1.111   1.659 1.002  2200
mu.ph[10,3]           -0.390   0.443 -1.254 -0.678 -0.392 -0.109   0.495 1.001  4000
mu.ph[11,3]           -0.186   0.382 -0.956 -0.436 -0.181  0.063   0.571 1.001  3900
mu.ph[12,3]            0.361   0.424 -0.465  0.082  0.362  0.625   1.205 1.001  3800
mu.ph[13,3]           -0.352   0.416 -1.198 -0.617 -0.346 -0.079   0.469 1.001  3700
mu.ph[14,3]            0.710   0.421 -0.163  0.454  0.720  0.997   1.496 1.001  3200
mu.ph[15,3]            0.636   0.443 -0.256  0.350  0.643  0.929   1.490 1.002  2300
mu.ph[16,3]            0.790   0.420 -0.033  0.517  0.784  1.062   1.625 1.001  3300
mu.ph[17,3]            0.616   0.435 -0.230  0.340  0.598  0.902   1.522 1.002  1700
mu.ph[18,3]            0.872   0.509 -0.126  0.538  0.892  1.202   1.854 1.001  3800
mu.ph[19,3]            0.916   0.469 -0.010  0.612  0.925  1.230   1.805 1.001  4000
mu.ph[20,3]            0.643   0.412 -0.167  0.381  0.642  0.904   1.456 1.001  4000
mu.ph[21,3]            0.088   0.513 -0.908 -0.241  0.085  0.415   1.086 1.001  3300
mu.photo[1]           -0.465   0.315 -1.069 -0.673 -0.472 -0.255   0.179 1.001  4000
mu.photo[2]           -1.648   0.542 -2.732 -1.986 -1.647 -1.295  -0.573 1.002  1700
mu.photo[3]            0.982   0.561 -0.110  0.617  0.979  1.339   2.076 1.002  2200
mu.photo[4]           -0.305   0.336 -0.978 -0.517 -0.304 -0.090   0.374 1.001  4000
mu.photo[5]           -0.610   0.262 -1.129 -0.781 -0.605 -0.438  -0.102 1.002  2000
mu.photo[6]           -0.959   0.376 -1.708 -1.197 -0.950 -0.717  -0.226 1.002  2200
mu.photo[7]           -0.980   0.382 -1.737 -1.224 -0.979 -0.730  -0.226 1.002  1700
mu.photo[8]            0.602   0.344 -0.076  0.378  0.601  0.825   1.275 1.002  1700
mu.photo[9]            0.489   0.376 -0.255  0.246  0.486  0.729   1.239 1.002  2600
mu.photo[10]          -0.424   0.252 -0.931 -0.591 -0.418 -0.256   0.066 1.002  2400
mu.photo[11]          -0.256   0.303 -0.855 -0.452 -0.259 -0.061   0.358 1.001  4000
mu.photo[12]          -0.049   0.276 -0.586 -0.229 -0.048  0.132   0.494 1.001  2700
mu.photo[13]          -0.133   0.432 -0.952 -0.420 -0.129  0.152   0.726 1.001  2700
mu.photo[14]           0.534   0.507 -0.464  0.201  0.524  0.863   1.539 1.001  3000
mu.photo[15]          -0.368   0.309 -0.975 -0.570 -0.375 -0.170   0.263 1.001  4000
mu.photo[16]           0.332   0.322 -0.302  0.123  0.329  0.544   0.974 1.001  3000
mu.photo[17]          -0.006   0.663 -1.291 -0.443 -0.013  0.412   1.340 1.001  4000
mu.photo[18]           0.235   0.297 -0.362  0.042  0.230  0.422   0.821 1.001  3400
mu.photo[19]           0.648   0.328  0.011  0.435  0.647  0.862   1.293 1.002  1700
mu.photo[20]          -0.016   0.219 -0.443 -0.157 -0.018  0.125   0.424 1.001  4000
mu.photo[21]           0.110   0.335 -0.551 -0.102  0.110  0.326   0.788 1.001  4000
phx.lf[1,1]            0.567   0.184  0.311  0.439  0.531  0.654   1.019 1.001  2800
phx.lf[2,1]           -0.096   0.162 -0.456 -0.185 -0.088  0.008   0.194 1.001  4000
phx.lf[3,1]            0.093   0.145 -0.171  0.004  0.084  0.175   0.411 1.001  4000
phx.lf[4,1]            0.195   0.186 -0.123  0.074  0.179  0.299   0.614 1.001  4000
phx.lf[5,1]            0.158   0.088  0.021  0.100  0.147  0.202   0.368 1.000  4000
phx.lf[1,2]           -0.096   0.162 -0.456 -0.185 -0.088  0.008   0.194 1.001  4000
phx.lf[2,2]            0.885   0.279  0.490  0.686  0.838  1.023   1.591 1.001  4000
phx.lf[3,2]            0.013   0.179 -0.344 -0.091  0.011  0.118   0.384 1.001  4000
phx.lf[4,2]            0.121   0.224 -0.313 -0.014  0.112  0.245   0.591 1.001  3000
phx.lf[5,2]            0.068   0.098 -0.118  0.010  0.065  0.123   0.280 1.001  4000
phx.lf[1,3]            0.093   0.145 -0.171  0.004  0.084  0.175   0.411 1.001  4000
phx.lf[2,3]            0.013   0.179 -0.344 -0.091  0.011  0.118   0.384 1.001  4000
phx.lf[3,3]            0.703   0.225  0.383  0.547  0.662  0.814   1.261 1.001  4000
phx.lf[4,3]           -0.114   0.198 -0.524 -0.223 -0.104  0.003   0.257 1.001  3500
phx.lf[5,3]            0.032   0.088 -0.134 -0.018  0.031  0.083   0.212 1.001  4000
phx.lf[1,4]            0.195   0.186 -0.123  0.074  0.179  0.299   0.614 1.001  4000
phx.lf[2,4]            0.121   0.224 -0.313 -0.014  0.112  0.245   0.591 1.001  3000
phx.lf[3,4]           -0.114   0.198 -0.524 -0.223 -0.104  0.003   0.257 1.001  3500
phx.lf[4,4]            1.096   0.347  0.604  0.850  1.034  1.271   1.943 1.001  4000
phx.lf[5,4]            0.169   0.116 -0.021  0.094  0.155  0.229   0.435 1.001  4000
phx.lf[1,5]            0.158   0.088  0.021  0.100  0.147  0.202   0.368 1.000  4000
phx.lf[2,5]            0.068   0.098 -0.118  0.010  0.065  0.123   0.280 1.001  4000
phx.lf[3,5]            0.032   0.088 -0.134 -0.018  0.031  0.083   0.212 1.001  4000
phx.lf[4,5]            0.169   0.116 -0.021  0.094  0.155  0.229   0.435 1.001  4000
phx.lf[5,5]            0.212   0.071  0.117  0.164  0.199  0.245   0.374 1.001  4000
phx.ph[1,1]            0.506   0.243  0.199  0.341  0.452  0.611   1.118 1.003  1100
phx.ph[2,1]           -0.026   0.128 -0.293 -0.091 -0.022  0.039   0.235 1.001  3200
phx.ph[3,1]            0.028   0.140 -0.237 -0.049  0.020  0.097   0.339 1.001  4000
phx.ph[1,2]           -0.026   0.128 -0.293 -0.091 -0.022  0.039   0.235 1.001  3200
phx.ph[2,2]            0.309   0.147  0.134  0.212  0.275  0.368   0.663 1.002  1600
phx.ph[3,2]            0.105   0.111 -0.074  0.038  0.091  0.154   0.359 1.001  4000
phx.ph[1,3]            0.028   0.140 -0.237 -0.049  0.020  0.097   0.339 1.001  4000
phx.ph[2,3]            0.105   0.111 -0.074  0.038  0.091  0.154   0.359 1.001  4000
phx.ph[3,3]            0.358   0.165  0.150  0.246  0.320  0.429   0.787 1.001  4000
rho.lf[1,1]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[2,1]           -0.130   0.205 -0.517 -0.274 -0.139  0.012   0.276 1.001  3700
rho.lf[3,1]            0.145   0.203 -0.267  0.007  0.151  0.292   0.529 1.001  4000
rho.lf[4,1]            0.242   0.196 -0.152  0.109  0.251  0.385   0.597 1.001  4000
rho.lf[5,1]            0.449   0.168  0.071  0.349  0.464  0.573   0.727 1.001  4000
rho.lf[1,2]           -0.130   0.205 -0.517 -0.274 -0.139  0.012   0.276 1.001  3700
rho.lf[2,2]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[3,2]            0.016   0.206 -0.392 -0.126  0.015  0.161   0.416 1.001  4000
rho.lf[4,2]            0.122   0.204 -0.293 -0.017  0.125  0.268   0.500 1.001  3100
rho.lf[5,2]            0.157   0.199 -0.256  0.026  0.168  0.299   0.522 1.001  2900
rho.lf[1,3]            0.145   0.203 -0.267  0.007  0.151  0.292   0.529 1.001  4000
rho.lf[2,3]            0.016   0.206 -0.392 -0.126  0.015  0.161   0.416 1.001  4000
rho.lf[3,3]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[4,3]           -0.127   0.200 -0.503 -0.268 -0.133  0.004   0.279 1.001  3800
rho.lf[5,3]            0.085   0.203 -0.315 -0.050  0.089  0.227   0.461 1.001  4000
rho.lf[1,4]            0.242   0.196 -0.152  0.109  0.251  0.385   0.597 1.001  4000
rho.lf[2,4]            0.122   0.204 -0.293 -0.017  0.125  0.268   0.500 1.001  3100
rho.lf[3,4]           -0.127   0.200 -0.503 -0.268 -0.133  0.004   0.279 1.001  3800
rho.lf[4,4]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[5,4]            0.344   0.183 -0.047  0.224  0.360  0.475   0.662 1.001  4000
rho.lf[1,5]            0.449   0.168  0.071  0.349  0.464  0.573   0.727 1.001  4000
rho.lf[2,5]            0.157   0.199 -0.256  0.026  0.168  0.299   0.522 1.001  2900
rho.lf[3,5]            0.085   0.203 -0.315 -0.050  0.089  0.227   0.461 1.001  4000
rho.lf[4,5]            0.344   0.183 -0.047  0.224  0.360  0.475   0.662 1.001  4000
rho.lf[5,5]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[1,1]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[2,1]           -0.068   0.275 -0.573 -0.263 -0.070  0.114   0.487 1.001  2800
rho.ph[3,1]            0.054   0.279 -0.474 -0.143  0.057  0.256   0.583 1.001  4000
rho.ph[1,2]           -0.068   0.275 -0.573 -0.263 -0.070  0.114   0.487 1.001  2800
rho.ph[2,2]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[3,2]            0.308   0.246 -0.223  0.146  0.328  0.487   0.725 1.001  3700
rho.ph[1,3]            0.054   0.279 -0.474 -0.143  0.057  0.256   0.583 1.001  4000
rho.ph[2,3]            0.308   0.246 -0.223  0.146  0.328  0.487   0.725 1.001  3700
rho.ph[3,3]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
sigmasq.indiv.cond     0.680   0.491  0.212  0.382  0.553  0.823   1.856 1.001  4000
sigmasq.indiv.fluor    0.587   0.413  0.181  0.339  0.479  0.710   1.557 1.001  4000
sigmasq.indiv.lftemp   0.893   0.817  0.217  0.441  0.658  1.035   3.136 1.001  3300
sigmasq.photo          0.787   0.280  0.406  0.591  0.730  0.926   1.469 1.001  4000
deviance              89.882  14.545 62.394 80.054 89.612 99.528 118.595 1.002  1700

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 105.6 and DIC = 195.5
DIC is an estimate of expected predictive error (lower deviance is better).
