Path analysis results at Kleinmond 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%     25%     50%     75%   97.5%  Rhat n.eff
rho.lf[3,1]          0.154   0.203 -0.253   0.018   0.160   0.301   0.523 1.001  2800
rho.lf[4,1]          0.242   0.193 -0.171   0.113   0.253   0.380   0.588 1.001  3200
rho.lf[5,1]          0.455   0.165  0.091   0.350   0.472   0.573   0.735 1.001  4000
rho.lf[1,2]         -0.124   0.203 -0.512  -0.264  -0.129   0.011   0.282 1.001  4000
rho.lf[2,2]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[3,2]          0.011   0.207 -0.393  -0.131   0.014   0.154   0.415 1.001  4000
rho.lf[4,2]          0.123   0.204 -0.281  -0.018   0.127   0.267   0.505 1.001  4000
rho.lf[5,2]          0.165   0.204 -0.258   0.031   0.172   0.313   0.537 1.001  4000
rho.lf[1,3]          0.154   0.203 -0.253   0.018   0.160   0.301   0.523 1.001  2800
rho.lf[2,3]          0.011   0.207 -0.393  -0.131   0.014   0.154   0.415 1.001  4000
rho.lf[3,3]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[4,3]         -0.126   0.205 -0.512  -0.269  -0.127   0.007   0.290 1.001  4000
rho.lf[5,3]          0.094   0.206 -0.324  -0.046   0.101   0.239   0.483 1.001  4000
rho.lf[1,4]          0.242   0.193 -0.171   0.113   0.253   0.380   0.588 1.001  3200
rho.lf[2,4]          0.123   0.204 -0.281  -0.018   0.127   0.267   0.505 1.001  4000
rho.lf[3,4]         -0.126   0.205 -0.512  -0.269  -0.127   0.007   0.290 1.001  4000
rho.lf[4,4]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[5,4]          0.349   0.180 -0.040   0.231   0.367   0.481   0.657 1.001  3100
rho.lf[1,5]          0.455   0.165  0.091   0.350   0.472   0.573   0.735 1.001  4000
rho.lf[2,5]          0.165   0.204 -0.258   0.031   0.172   0.313   0.537 1.001  4000
rho.lf[3,5]          0.094   0.206 -0.324  -0.046   0.101   0.239   0.483 1.001  4000
rho.lf[4,5]          0.349   0.180 -0.040   0.231   0.367   0.481   0.657 1.001  3100
rho.lf[5,5]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[2,1]         -0.075   0.274 -0.579  -0.271  -0.078   0.111   0.467 1.001  4000
rho.ph[3,1]          0.134   0.290 -0.445  -0.072   0.152   0.356   0.651 1.001  4000
rho.ph[1,2]         -0.075   0.274 -0.579  -0.271  -0.078   0.111   0.467 1.001  4000
rho.ph[2,2]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.ph[3,2]          0.258   0.267 -0.313   0.077   0.282   0.456   0.721 1.001  4000
rho.ph[1,3]          0.134   0.290 -0.445  -0.072   0.152   0.356   0.651 1.001  4000
rho.ph[2,3]          0.258   0.267 -0.313   0.077   0.282   0.456   0.721 1.001  4000
rho.ph[3,3]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
sigmasq.cond         0.282   0.103  0.147   0.214   0.262   0.328   0.529 1.001  4000
sigmasq.fluor        0.583   0.390  0.187   0.336   0.482   0.709   1.542 1.001  4000
sigmasq.lftemp       0.875   0.870  0.210   0.427   0.645   0.992   3.027 1.002  2100
sigmasq.photo        0.723   0.282  0.359   0.534   0.661   0.846   1.474 1.001  2700
sigmasq.trans        1.587   1.174  0.374   0.833   1.265   1.974   4.753 1.001  4000
sigmasq.wue          0.112   0.054  0.059   0.084   0.103   0.129   0.210 1.000  4000
deviance           119.073  18.322 85.311 106.419 118.604 130.623 156.574 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 167.9 and DIC = 287.0
DIC is an estimate of expected predictive error (lower deviance is better).
