Path analysis results at De Hoop 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%    50%    75%  97.5%  Rhat n.eff
beta.lftemp.spi     -0.588   0.203  -0.997  -0.719 -0.586 -0.457 -0.189 1.003  1100
beta.lftemp.temp     0.229   0.287  -0.383   0.049  0.242  0.418  0.764 1.002  1600
beta.photo.cond      0.507   0.295  -0.069   0.310  0.507  0.700  1.099 1.001  4000
beta.photo.fluor     0.290   0.133   0.020   0.207  0.288  0.376  0.549 1.001  4000
beta.photo.humid     0.171   0.211  -0.258   0.036  0.170  0.306  0.581 1.001  4000
beta.photo.lftemp   -0.084   0.230  -0.531  -0.232 -0.085  0.069  0.369 1.001  4000
beta.photo.temp     -0.332   0.278  -0.886  -0.511 -0.336 -0.150  0.225 1.002  2600
beta.trans.humid     0.025   0.285  -0.547  -0.160  0.028  0.209  0.581 1.001  4000
beta.trans.lfarea    0.242   0.228  -0.200   0.093  0.241  0.389  0.699 1.002  2600
beta.trans.lwr      -0.011   0.260  -0.525  -0.183 -0.006  0.165  0.494 1.001  3200
beta.trans.sdi       0.404   0.154   0.100   0.301  0.403  0.502  0.711 1.001  3800
beta.trans.sla       0.046   0.182  -0.319  -0.071  0.043  0.160  0.420 1.001  3000
beta.trans.spi       0.352   0.184  -0.022   0.235  0.353  0.475  0.703 1.001  4000
beta.trans.temp     -0.126   0.212  -0.553  -0.261 -0.124  0.013  0.290 1.001  4000
beta.wue.cond       -1.537   0.117  -1.774  -1.612 -1.537 -1.458 -1.307 1.002  2300
beta.wue.photo       0.948   0.127   0.698   0.864  0.948  1.032  1.205 1.002  2200
rho.lf[1,1]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]         -0.089   0.185  -0.449  -0.216 -0.097  0.037  0.280 1.001  3100
rho.lf[3,1]         -0.413   0.154  -0.678  -0.523 -0.427 -0.316 -0.083 1.001  4000
rho.lf[4,1]          0.239   0.178  -0.126   0.120  0.248  0.366  0.553 1.001  4000
rho.lf[5,1]          0.249   0.173  -0.108   0.135  0.260  0.368  0.566 1.001  4000
rho.lf[1,2]         -0.089   0.185  -0.449  -0.216 -0.097  0.037  0.280 1.001  3100
rho.lf[2,2]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]          0.048   0.187  -0.316  -0.080  0.050  0.178  0.404 1.002  2200
rho.lf[4,2]         -0.058   0.185  -0.405  -0.186 -0.061  0.069  0.311 1.001  3500
rho.lf[5,2]          0.210   0.183  -0.162   0.089  0.221  0.340  0.541 1.001  4000
rho.lf[1,3]         -0.413   0.154  -0.678  -0.523 -0.427 -0.316 -0.083 1.001  4000
rho.lf[2,3]          0.048   0.187  -0.316  -0.080  0.050  0.178  0.404 1.002  2200
rho.lf[3,3]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[4,3]         -0.115   0.183  -0.455  -0.247 -0.120  0.009  0.251 1.001  4000
rho.lf[5,3]         -0.171   0.179  -0.503  -0.295 -0.178 -0.051  0.197 1.002  2300
rho.lf[1,4]          0.239   0.178  -0.126   0.120  0.248  0.366  0.553 1.001  4000
rho.lf[2,4]         -0.058   0.185  -0.405  -0.186 -0.061  0.069  0.311 1.001  3500
rho.lf[3,4]         -0.115   0.183  -0.455  -0.247 -0.120  0.009  0.251 1.001  4000
rho.lf[4,4]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]          0.399   0.159   0.049   0.302  0.413  0.511  0.671 1.001  3500
rho.lf[1,5]          0.249   0.173  -0.108   0.135  0.260  0.368  0.566 1.001  4000
rho.lf[2,5]          0.210   0.183  -0.162   0.089  0.221  0.340  0.541 1.001  4000
rho.lf[3,5]         -0.171   0.179  -0.503  -0.295 -0.178 -0.051  0.197 1.002  2300
rho.lf[4,5]          0.399   0.159   0.049   0.302  0.413  0.511  0.671 1.001  3500
rho.lf[5,5]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]          0.228   0.252  -0.300   0.059  0.244  0.413  0.669 1.001  4000
rho.ph[3,1]          0.025   0.268  -0.497  -0.161  0.020  0.220  0.525 1.001  3100
rho.ph[4,1]         -0.196   0.268  -0.683  -0.394 -0.210 -0.010  0.352 1.001  4000
rho.ph[1,2]          0.228   0.252  -0.300   0.059  0.244  0.413  0.669 1.001  4000
rho.ph[2,2]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]          0.362   0.223  -0.114   0.213  0.381  0.526  0.745 1.001  3400
rho.ph[4,2]          0.071   0.258  -0.437  -0.109  0.078  0.253  0.556 1.002  2200
rho.ph[1,3]          0.025   0.268  -0.497  -0.161  0.020  0.220  0.525 1.001  3100
rho.ph[2,3]          0.362   0.223  -0.114   0.213  0.381  0.526  0.745 1.001  3400
rho.ph[3,3]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[4,3]          0.385   0.226  -0.112   0.244  0.411  0.549  0.757 1.001  4000
rho.ph[1,4]         -0.196   0.268  -0.683  -0.394 -0.210 -0.010  0.352 1.001  4000
rho.ph[2,4]          0.071   0.258  -0.437  -0.109  0.078  0.253  0.556 1.002  2200
rho.ph[3,4]          0.385   0.226  -0.112   0.244  0.411  0.549  0.757 1.001  4000
rho.ph[4,4]          1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
sigmasq.cond         0.689   0.422   0.236   0.419  0.582  0.837  1.755 1.002  1700
sigmasq.fluor        0.908   0.605   0.267   0.525  0.753  1.103  2.500 1.001  4000
sigmasq.lftemp       1.005   0.724   0.274   0.525  0.813  1.237  3.021 1.002  2300
sigmasq.photo        0.233   0.084   0.124   0.178  0.217  0.272  0.429 1.001  4000
sigmasq.trans        0.571   0.392   0.191   0.337  0.470  0.680  1.506 1.001  4000
sigmasq.wue          0.087   0.047   0.048   0.067  0.081  0.099  0.151 1.001  4000
deviance            -9.673  22.856 -52.810 -25.016 -9.874  5.179 34.989 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 261.4 and DIC = 251.7
DIC is an estimate of expected predictive error (lower deviance is better).
